id,intent_action,intent_object,intent_qualifier,qualifier_theme,call_summary,sentiment,resolution
695558,Cancellation,"iPhone Order","Order Modification","Order Modification","The customer called to modify a recently placed iPhone order, wishing to change the color and upgrade the model. The agent advised cancelling the current order and placing a new one, explaining the process for store credit versus bank refund, associated fees, and delivery timelines. The customer understood the instructions and agreed to proceed with the cancellation and reorder.",Inquisitive,Yes
695559,Return,iPhone,"Multiple Defects","Product Complaint","The customer called to change a warranty claim to a return for an iPhone 12 Mini due to multiple defects. The agent processed the return request, cancelled the existing warranty claims, and confirmed the refund would be issued as store credit within 48 hours of device receipt.",Neutral,Yes
695561,Purchase,"iPhone 14 Pro Max","Price and Availability","Product Research","The customer called to inquire about purchasing an iPhone 14 Pro Max. The agent provided details about the phone's availability, colors, storage, and conditions. The call ended with the customer asking about a physical store location in South Africa, which the agent clarified they do not have, as they ship from the UAE.",Inquisitive,No
695563,Complaint,iPhone,"Speaker Issue","Product Complaint","The customer called to complain about a recurring speaker issue with an iPhone 12 Pro Max that has been returned twice, but the technical team reported no fault. The agent explained the process and advised the customer to raise another complaint with video evidence, as direct contact with a technician is not possible. The issue was not resolved on this call.",Frustrated,No
695564,Return,Order,"Wrong Order Placed","Return Process","The customer received an iPhone 7 but realized they had ordered the wrong model and wished to return it to place a new order. The agent provided comprehensive instructions on how to initiate the return process via the website or app, detailing the steps for raising a claim, the pickup timeline, and the refund processing period.",Neutral,Yes
695565,Purchase,iPhone,"eSIM Availability","Product Research","The customer inquired about purchasing an iPhone 15 Pro Max with eSIM functionality. The agent informed them that eSIM availability cannot be confirmed before placing an order, and if the order is cancelled due to lack of eSIM, a 5% deduction will apply. The customer decided to consider their options and call back.",Frustrated,No
695566,Inquiry,Delivery,"Failed Delivery Attempt","Shipping Provider Issue","The customer called regarding a failed delivery attempt for their order, as the tracker indicated 'no response' from the address. The agent helped the customer locate the correct order details and provided the DHL tracking number and WhatsApp contact information, advising the customer to contact DHL directly to arrange a new delivery.",Satisfied,No
695567,"Track Order",Order,"Third-Party Delivery Issue","Shipping Provider Issue","The customer called to inquire about their iPhone 13 order, which was placed last Sunday and had not yet arrived, despite receiving a delivery notification. The agent identified that DHL had handed the package to an unknown third-party agent and promised to contact DHL for more details and then call the customer back with an update.",Frustrated,No
695570,Inquiry,iPhones,"Unclear Reason","Initial or Unclear Contact","The customer initiated a call regarding two iPhone 14 Pro Maxes purchased in December. The call disconnected before the customer could fully explain their reason, and the agent promised a callback.",Neutral,No
695573,Refund,Refund,"Refund Status Delay","Refund Processing","The customer called to inquire about the status of a refund for order number 88054, stating it had been almost one month. The agent could not provide an immediate update and promised to check with the finance team and follow up via call or email.",Frustrated,No
695581,"Track Order","iPhone Order","Delivery Delay","Delivery Delays","The customer called to inquire about a delayed iPhone order, noting a discrepancy between the initial delivery estimate and a new date from DHL. The agent provided the latest tracking update, confirmed the new estimated delivery date, and advised the customer to contact DHL directly for more details on the delay. The customer accepted the information and stated they would wait for the delivery.",Inquisitive,Yes
695584,Complaint,Delivery,"Courier Delivery Protocol","Shipping Provider Issue","The customer called to report a negative interaction with a courier who refused to call upon delivery of an iPhone 11 and threatened to leave it with security. The customer is concerned about not receiving the phone and potential fraud. The agent acknowledged the issue and confirmed the order details but did not provide a resolution within the transcript.",Frustrated,No
695588,Inquiry,Order,"Courier Delivery Issue","Shipping Provider Issue","Customer called about a problematic delivery experience with DHL for their iPhone 11 order, where the driver refused to call them and insisted on leaving the package with security, leading to an argument and the driver hanging up. The customer is worried about not receiving their phone. The agent promised to call the customer back immediately to continue assisting.",Frustrated,No
695591,Inquiry,Order,"Urgent Delivery Request","Delivery Delays","The customer called to request urgent delivery for five iPads ordered yesterday, citing school requirements. The agent explained the standard delivery timeframe is 5-7 business days, despite the app showing 1-3 days, and promised to escalate the request for expedited delivery to the team without guarantee.",Frustrated,No
695592,"Track Order",Order,"Shipment On Hold","Shipping Provider Issue","The customer called to inquire about an iPhone 13 Pro order that was on hold with DHL after an initial attempt to cancel it. The agent explained the hold was likely due to internal DHL paperwork and promised to send a reminder to DHL, while the customer also agreed to contact DHL directly.",Frustrated,No
695594,Inquiry,Delivery,"Courier Delivery Refusal","Shipping Provider Issue","The customer called because a DTL courier refused to deliver their ordered phone directly, insisting on leaving it with a security guard, and then hung up on the customer, leading to fears of a scam. The agent provided the DTL customer service number for complaints and reassured the customer about the delivery process and Revibe's policy in case of non-delivery. The customer accepted the information and ended the call.",Frustrated,Yes
695595,Inquiry,Order,"Expedite Delivery Request","Delivery Delays","The customer called to inquire about expediting the shipment of a recently purchased MacBook Pro. The agent clarified that the website's delivery dates were outdated due to policy changes, leading to customer frustration. The customer reluctantly agreed to a delivery by the 13th but stated they would demand a full refund if the order was not delivered by that date.",Frustrated,No
695596,"Track Order",Device,"Delivery Delay and Missing Tracking","Delivery Delays","The customer called about a device that was sent for a warranty claim and was not delivered as expected, nor was a tracking number provided for the return shipment. The agent promised to contact the shipping team and courier to follow up on the status and ensure updates, which the customer accepted.",Satisfied,No
695598,Purchase,Payment,"Monthly Payment Options","Installment Payments","The customer called to inquire about purchasing phones on contract or with monthly payment options. The agent explained Revibe's 'Buy Now Pay Later' options through partner services and directed the customer to their website or app to complete the purchase. The customer accepted the information and ended the call.",Inquisitive,Yes
695599,"Track Order",Order,"Late Delivery","Delivery Delays","The customer called to inquire about a delayed iPhone 13 order that had not arrived by the promised date. The agent checked the tracking and informed the customer that the order was forwarded to a third-party courier and is expected to arrive today or by Monday. The customer accepted this information and the call concluded.",Neutral,Yes
695602,Return,Waybill,"Missing Waybill for Return","Return Process","The customer called because they needed a waybill for a previously collected return, which the collection company required to process the shipment. The agent confirmed they would contact the shipping team to obtain the waybill and send it to the customer via email by the end of the day.",Frustrated,No
695603,"Account Issue",Email,"Wrong Email Address","Account Registration","The customer called because they used a non-existent email address when placing an order, preventing them from receiving confirmation or logging into their account. The agent collected the incorrect and correct email addresses and stated they would report the issue to managers for resolution, meaning the issue was not resolved on this call.",Neutral,No
695608,Refund,Payment,"Refund to Wallet","Refund Processing","The customer called because a refund for a returned iPhone 11 Pro Max was credited to their Revibe wallet instead of their personal bank account. The agent explained how to withdraw funds from the Revibe app, but the customer did not have the app downloaded and stated they would call back later.",Frustrated,No
695613,Inquiry,Order,"Customs Clearance Delay","Shipping Provider Issue","The customer called to inquire about a laptop order that has been stuck in customs in Johannesburg since late March, with DHL reporting an inability to contact the importer. The agent attempted to call DHL but was unsuccessful, then provided the customer with DHL's contact information and asked them to call DHL and report back via email.",Inquisitive,No
695617,Inquiry,Order,"Quality Check and Delivery Delay","Delivery Delays","The customer called to inquire about a delayed iPhone order that had been stuck in quality check for 10 days, with conflicting information from the shipping provider. The agent filed a complaint, promised to expedite the order, and provided an estimated delivery window.",Frustrated,Yes
695618,Inquiry,General,"Communication Problem","Initial or Unclear Contact","The customer initiated a call, but due to an audio issue, the agent was unable to hear them. The agent advised the customer to call back to resolve the communication problem.",Neutral,No
695620,Cancellation,Order,"Order Delay Cancellation",Cancellation,"The customer called to inquire about a delayed iPhone order that had not been received by the promised date. The agent advised the customer on how to cancel the order via the website without incurring a fee, which the customer successfully did during the call.",Frustrated,Yes
695621,Return,iPhone,"Rejected Return Request","Return Process","The customer called because their previous three attempts to return an iPhone were rejected, and they do not know why. The agent is guiding the customer through the process of submitting a new return request via the app, and the call ends while this process is still ongoing.",Frustrated,No
695627,Inquiry,General,"Unclear Contact","Initial or Unclear Contact","The customer initiated a call, but the agent was unable to hear them due to a sound issue. The agent placed the customer on hold to troubleshoot the problem, and the customer's query remained unaddressed.",Neutral,No
695635,Refund,Refund,"Delayed Refund Status","Refund Processing","The customer called to inquire about a significantly delayed refund for an iPhone 14, expressing extreme frustration over conflicting information and repeated postponements. The agent apologized for a payment provider issue causing the delay and promised to expedite the refund within the next week, but the customer remained unsatisfied and threatened legal action, with the issue unresolved on the call.",Angry,No
695638,Inquiry,General,General,"Initial or Unclear Contact","The customer initiated the call and greeted the agent. No specific issue was discussed or resolved during this brief interaction.",Neutral,No
695639,Cancellation,Order,"Shipment Delay and Cancellation","Delivery Delays","The customer called to inquire about an update on her delayed DHL shipment. The agent provided an update from DHL stating that the issue is being investigated and an update will be provided by Monday. The customer then inquired about cancelling her order and the refund process, expressing dissatisfaction with the courier, but did not proceed with cancellation during the call.",Frustrated,No
695641,Refund,Refund,"Refund Status Inquiry","Refund Processing","The customer initially experienced audio issues and requested a transfer, then provided an order number. The customer inquired about the status of a refund and sought to contact the head office. The agent promised to send an email to facilitate further communication regarding the issue.",Frustrated,No
695644,Inquiry,Order,"Delivery Location and Time","Product Research","The customer inquired about Revibe's delivery locations and the estimated timeframe for a laptop order to Cape Town, South Africa. The agent confirmed delivery to Cape Town and provided a delivery window of five to seven working days, which satisfied the customer.",Inquisitive,Yes
695646,Inquiry,Order,"Delivery Problem","Shipping Provider Issue","The customer called to inquire about the status of their iPhone order, which was expected for delivery today but had no updates. The agent discovered a shipping issue with DHL, and the order will be reshipped next week. The customer then raised a secondary inquiry about a recent price drop for the same device, which the agent put on hold to investigate.",Inquisitive,No
695647,Return,Laptop,"Pickup Schedule for Wrong/Defective Item","Return Process","The customer received a MacBook Pro that was the wrong size and had hardware defects. They called to inquire about the pickup schedule for the return they had already initiated. The agent provided general information about delivery times, and the customer asked if they could call again, indicating the specific pickup schedule was not resolved.",Inquisitive,No
695650,"Warranty Claim","iPhone 14 Pro Max","SIM Card Not Working, Claim Rejected","Claim Status","The customer called to inquire about their warranty claim for an iPhone 14 Pro Max, which has been rejected five times due to unclear video proof of the device's SIM card issue. The agent explained the reason for the rejections and requested clearer video evidence. The customer expressed significant frustration and threatened to post on social media if the issue is not resolved.",Angry,No
695653,Complaint,"iPhone Adapter","Counterfeit Product","Product Complaint","The customer called to complain about receiving a counterfeit iPhone adapter for the second time, citing a spelling mistake on the product. The agent was unable to locate the customer's claim using the provided number, and the customer ended the call, requesting further communication via email.",Angry,No
695654,Refund,Laptop,"Delayed Refund Payment","Refund Processing","The customer called to inquire about a significantly delayed refund for a laptop purchased via Ozo, which was past the promised timeframe. After multiple holds and increasing customer frustration, the agent confirmed the refund was successfully processed and the customer received it during the call.",Angry,Yes
695655,"Track Order",Order,"Quality Check Delay","Quality Check Wait","The customer inquired about the status of their iPhone order, which was stuck in quality check with no shipping updates since March 31st. The agent promised to contact the shipping team and DHL for an update and would share it with the customer via email.",Inquisitive,No
695656,Inquiry,Phone,"In-person Collection","Store Location","The customer inquired if they could purchase a phone and collect it in person to avoid delivery time. The agent clarified that Revibe operates online only from Dubai and all devices are shipped, taking 5-7 business days. The customer accepted the information and ended the call.",Inquisitive,Yes
695658,Return,Laptop,"Wrong Size, Defects, Missing Cashback","Product Complaint","The customer received a laptop that was the wrong size and had hardware defects, and also inquired about missing cashback. The agent instructed the customer to send additional pictures and details of both issues via email for further investigation and resolution.",Neutral,No
695660,Inquiry,Order,"Sudden Price Increase","Pricing Inquiry","The customer called regarding a B2B order for seven laptops that was unexpectedly cancelled and refunded after payment due to a sudden price increase. The agent apologized for the pricing error and informed the customer that the business-to-business department would contact them soon to resolve the matter.",Frustrated,No
695662,Inquiry,Order,"Pending Quality Check","Quality Check Wait","The customer called to inquire about their iPhone 15 Pro order, which is currently pending in quality check. The call ended abruptly before the agent could provide any information or resolution.",Inquisitive,No
695666,"Track Order",Order,"Delivery Date Inquiry","Delivery Delays","The customer called to inquire about the status of an iPhone XR order, which had not arrived within the initially promised delivery window. The agent provided an updated shipping status, explaining that the item was still in Dubai and would likely be delivered by Monday or Tuesday, later than the customer's initial expectation. The customer accepted the updated information.",Frustrated,Yes
695668,"Track Order",Claim,"Claim Tracking Update","Status Inquiry","The customer called to inquire about the status of their device's claim tracking, as the provided link had not updated in five days. The agent informed the customer that they are awaiting an updated tracking number from the shipping company and promised to follow up and email the customer the new tracking information today.",Inquisitive,No
695670,Inquiry,Cashback,"Cashback Application Timing","Promotions & Vouchers","The customer called to inquire about the application of a 100 Dirham cashback offer for orders above 1000. The agent clarified that the cashback is applied to the customer's next order, not the initial purchase. The customer understood and accepted the explanation.",Inquisitive,Yes
695677,Inquiry,Order,"Order Shipping Details","Status Inquiry","The customer initiated a call to discuss a phone purchased on March 17, 2026, which was shipped on March 24. The call ended prematurely before the customer could fully explain their concern or receive assistance.",Neutral,No
695684,"Track Order",Order,"Expedited Delivery Request","Delivery Delays","The customer called to inquire about the status of their iPhone 15 Pro order, which was stuck in quality check, and requested same-day delivery due to an upcoming flight. The agent informed the customer the delivery was scheduled for the next day and advised them to contact the shipping company directly to arrange an earlier delivery or designate an alternate recipient.",Frustrated,No
695687,"Track Order",Order,"Delivery Delay","Shipping Provider Issue","The customer called to inquire about a delayed iPhone 13 order placed on April 8th, which was expected this week but has not yet arrived. The agent began investigating the delivery status with DHL, but the call ended before a resolution was reached.",Inquisitive,No
695692,"Track Order",Order,"Evaluation Phase Delay","Status Inquiry","The customer called to inquire about an iPhone 14 Pro Max order that had not arrived after a week, noting that a more recent order seemed to be progressing faster. The agent explained that the order was stuck in an internal evaluation phase and promised to send an urgent request to expedite this process.",Inquisitive,No
695693,Inquiry,Warranty,"Warranty Coverage Details","Coverage Inquiry","The customer called to inquire about the differences between the standard 12-month warranty and the extended 24-month warranty offered for devices, specifically regarding coverage for accidental damage. The agent clarified that the 12-month warranty covers device defects, while the 24-month warranty covers misuse and accidental damage, and the customer was satisfied with the explanation.",Satisfied,Yes
695696,Return,iPhone,"Screen Size Exchange","Return Process","The customer called to inquire about returning an iPhone 11 Pro to exchange it for an iPhone 11 Pro Max, as she found the screen of her current device too small. The agent informed her that the return window had passed and the buyback option was not available in her region, which the customer accepted. The agent also provided a resource for future product comparisons.",Inquisitive,Yes
695699,Purchase,"Mobile Phone","Purchase Process and Installments","Installment Payments","The customer called to inquire about purchasing a mobile phone and the available installment options. The agent directed the customer to the website for product selection and clarified that installment plans are offered through third-party providers, Tabby and Tamara. The customer accepted the information provided.",Inquisitive,Yes
695701,Purchase,Phone,"Online Purchase Process","Product Research","The customer called to inquire about the process of purchasing a phone from Revibe's online store, as they are new to the platform. The agent began explaining the online-only model, shipping, warranty, and return policy, but the call ended mid-explanation.",Inquisitive,No
695706,Complaint,iPhone,"Unresolved Warranty Repair","Product Complaint","The customer called regarding an iPhone 13 Mini that was sent for warranty repair but returned unfixed. The customer expressed extreme anger and frustration over the repeated failure to resolve the issue and demanded a manager callback within an hour, threatening to escalate to consumer rights. The agent promised to escalate the issue and call back within the requested timeframe.",Angry,No
695709,"Track Order",Order,"Delivery Timeline Clarification","Status Inquiry","The customer called to inquire about the status and expected delivery date of their order. The agent confirmed the order details, explained the updated delivery timeline of 5-7 working days, and clarified why the customer might have seen a different timeline previously. The agent also sent the customer DHL contact details and the tracking link via email.",Inquisitive,Yes
695712,Inquiry,General,"Connection Issue","Initial or Unclear Contact","The agent attempted to connect with the customer, but there was a persistent connection issue preventing communication. The agent advised the customer to call back once the connection problem was resolved.",Neutral,No
695714,"Warranty Claim",iPhone,"Dual Phone Failure & Warranty Process","Hardware Defects","The customer called regarding two iPhone 14 Pro Maxes purchased four months prior, both of which simultaneously stopped working and would not charge. The customer was frustrated about losing data and questioned the quality of refurbished devices and the price difference. The agent guided the customer through the online warranty claim process, addressing concerns about factory reset, battery health screenshots, and claiming two identical phones on one order, and provided an estimated timeline for repair.",Angry,No
695716,Inquiry,Invoice,"Stamped Invoice for iCloud Unlock","Product Complaint","The customer called because their iPhone 12 Pro Max locked itself with iCloud, and Apple rejected the invoice provided by Revibe for unlocking the device. The customer requested a new, stamped invoice from Revibe to satisfy Apple's requirements. The agent agreed to send a new stamped invoice within 48 hours.",Frustrated,No
695719,Inquiry,iPhone,"Screen Sealing Concern","Hardware Defects","The customer called to inquire about the sealing and waterproofing of their recently received iPhone 15 Pro Max, which they purchased in 'excellent' condition. The agent explained that refurbished phones often have replaced parts and are not guaranteed to be waterproof, clarifying Revibe's policy and return/warranty options. The customer accepted the explanation and thanked the agent.",Inquisitive,Yes
695720,Complaint,"Delivery Service","Quickcup Communication Issue","Shipping Provider Issue","The customer called to complain about the delivery service, Quickcup, and their inability to contact a human to change a delivery address due to a hospital emergency. The agent could only provide the Quickcup WhatsApp number, which the customer found unhelpful, and the call ended without a resolution.",Frustrated,No
695721,Complaint,"Laptop Keyboard","Wrong Keyboard Language","Wrong or Missing Item","The customer received a laptop with an English-only keyboard, but had ordered one with an Arabic-English keyboard. The agent guided the customer through the process of filing a claim via the app, which requires uploading a video or photo and a detailed description of the issue. The customer understood the steps and agreed to complete them after the call.",Inquisitive,No
695722,Return,Device,"Courier Pickup Delay","Return Process","The customer called to inquire about the delayed pickup for a return request for a mobile phone. The agent filed a complaint regarding the courier's lack of contact and updated the customer's availability for pickup, promising the courier would contact them soon.",Frustrated,Yes
695724,"Warranty Claim","iPhone 12","Multiple Hardware Defects","Hardware Defects","The customer called regarding an iPhone 12, received as a warranty exchange, which developed multiple hardware issues including Wi-Fi, Bluetooth, camera, flashlight, and battery drain. The agent instructed the customer to submit a new warranty claim through the website, providing details on how to describe the issues and attach a video. The issue was not resolved on this call, but the next steps were clearly communicated.",Frustrated,No
695726,Inquiry,Return,"Return Tracking Status","Return Process","The customer called to inquire about the tracking status of a returned, faulty laptop. The agent confirmed the shipment is on hold and promised to expedite the process and provide an update via email.",Frustrated,No
695728,Inquiry,"Warranty Claim","Claim Status Update","Claim Status","The customer called to inquire about the status of a warranty claim for an iPhone 13 Pro Max. The agent confirmed receipt of the device, provided an estimated timeline for resolution, and added a note to expedite the process and include an additional complaint about overheating. The issue was not fully resolved on this call as the warranty process is ongoing.",Frustrated,No
695729,"Track Order",Order,"Customs Hold Delay","Delivery Delays","The customer called to inquire about an iPad order placed two weeks ago that had not yet been received. The agent identified that the order was on hold in customs with DHL and provided the customer with instructions on how to contact DHL directly to resolve the issue.",Inquisitive,No
695732,"Warranty Claim","iPhone 7","Recurring Charging Issue","Hardware Defects","The customer called because their iPhone 7, which had recently been returned after a warranty repair for a charging issue, developed the exact same problem again. The agent instructed the customer to raise another warranty claim and promised to add notes to support their request for an exchange or refund, but the device issue itself was not resolved on the call.",Frustrated,No
695736,Escalation,Claim,"Manager Request for Claim","Supervisor Request","The customer called to speak to a manager regarding a claim for an order, stating it was their third call for the same issue. The agent attempted to gather details and resolve the issue, but the customer insisted on speaking to a manager. The agent offered to escalate the request for a manager callback, but the customer disconnected before confirming.",Frustrated,No
695738,"Track Order",Delivery,"Delivery Date Discrepancy","Delivery Delays","The customer called to inquire about a discrepancy in the delivery date for their Surface book order, noting a longer delivery time from DHL than initially promised. The agent was in the process of gathering necessary account information when the customer had to end the call due to an incoming call, leaving the issue unresolved.",Inquisitive,No
695740,Escalation,Manager,"Callback Delay","Supervisor Request","The customer called to follow up on a manager callback that was promised days ago but had not yet occurred. The customer also inquired about a closed claim related to an iPhone order, expressing significant dissatisfaction with the lack of communication and the claim's resolution. The agent reiterated that a manager would call and noted the customer's request for urgency, but the underlying issue remained unresolved.",Angry,No
695743,Return,iPhone,"Exchange Request","Return Process","The customer called to inquire about returning an iPhone 8. The agent explained the 10-day return policy and provided detailed instructions on how to initiate a return claim through the Revibe website or application. The customer understood the process and agreed to proceed with the return.",Inquisitive,Yes
695744,Refund,Laptop,"Pending Quality Check","Quality Check Wait","The customer called to inquire about a refund for a returned laptop, stating it has been three weeks since the return and they are still waiting. The agent explained that the refund is pending the quality team's comments and promised to send further notifications to expedite the process, but the refund was not issued during the call.",Frustrated,No
695745,Inquiry,Order,"Customs Clearance Request","Shipping Provider Issue","The customer called to inquire about a request from DHL for an identity number for customs clearance of her recently ordered iPad. The agent confirmed the order was shipped, provided a commercial invoice for customs, and clarified the delivery timeline and payment details. The customer's immediate concern was addressed, and she also received information about future orders.",Inquisitive,Yes
695747,Refund,Payment,"Price Difference Refund","Wrong or Missing Item","The customer received an iPhone 14 Pro Max in black instead of the silver color they ordered. They decided to keep the black phone but requested a refund for the price difference. The agent confirmed the claim is still under review and promised an email update regarding the resolution.",Inquisitive,No
695748,Inquiry,Order,"Delivery Date Discrepancy","Status Inquiry","The customer called to inquire about a discrepancy between the expected delivery date on the website and a much later date provided by DHL for their device order. The agent clarified that DHL's estimated dates are often inaccurate, explained the current 5-7 day delivery timeframe from Dubai to South Africa, and confirmed the order is progressing well. The customer was satisfied with the explanation and also received information about the return policy and warranty.",Inquisitive,Yes
695750,Inquiry,Order,"Tracking Status Confusion","Status Inquiry","The customer called because their order tracking showed 'canceled' on the courier's website, causing them concern. The agent clarified that the order was not canceled in Revibe's system but was delayed and had not yet moved to quality check. The agent initiated a request to expedite the order and address the tracking discrepancy.",Frustrated,Yes
695751,Inquiry,Claim,"Claim Status Discrepancy","Claim Status","The customer called to inquire about the status of a claim, believing they were due a refund that had not been received. The agent clarified that the system indicated the device was being shipped back to the customer, not refunded, and advised them to await an email with tracking information.",Inquisitive,Yes
695754,Return,Device,"Device Not Working","Hardware Defects","The customer called to return an iPhone 12 that was not switching on, having received it last week. The agent guided the customer through the online return process, emphasizing the 10-day return window which was ending that day, and the customer agreed to initiate the claim by the end of the day.",Inquisitive,Yes
695755,"Technical Support","S23 Ultra","Device Malfunction and Software Issue","Hardware Defects","The customer reported issues with a recently purchased S23 Ultra, including ghost touches, freezing buttons, and an unsupported software version message. The agent explained the warranty options, including a 10-day return window and a 2-year warranty for repairs, and confirmed that reflashing the device with official Samsung software would not void the warranty. The customer decided to attempt self-troubleshooting by reflashing the software and checking the screen protector first.",Inquisitive,Yes
695758,Inquiry,Catalog,"Catalog via WhatsApp","Product Research","The customer called to inquire about the product catalog and asked if the company has a WhatsApp number to share it. The call ended abruptly before the agent could fully respond or provide a resolution.",Inquisitive,No
695760,Refund,iPhone,"Five-Month Unresolved Repair/Refund","Refund Processing","The customer called to inquire about an iPhone 13 sent for repair or replacement five months ago, which has not been returned or refunded. She expressed extreme frustration over the lack of resolution and communication, stating she has filed a consumer protection complaint and now only wants a refund. The agent apologized and was still investigating the issue at the end of the transcript.",Angry,No
695762,"Track Order",Order,"Tracking Status Confusion","Delivery Delays","The customer called to inquire about the status of an order placed on April 6th, as the online tracking showed it was still in Dubai despite an expected delivery date of April 10th. The agent clarified that the courier had initiated the shipment but not updated the tracking, and the device should arrive within a couple of days. The agent also reported the issue to expedite the delivery, and the customer accepted the explanation.",Inquisitive,Yes
695763,Return,iPhone,"Wrong Model Ordered","Return Process","The customer called to return an iPhone 16, stating they had intended to order an iPhone 16 Plus. The agent explained Revibe's return policy, including a 10% deduction for non-faulty returns, and provided detailed instructions on how to initiate the return process via the website or app. The customer also inquired about unlocking an iCloud-locked iPhone not purchased from Revibe, for which the agent advised contacting Apple Support.",Inquisitive,Yes
695764,Refund,iPhone,"Delayed Refund for Cancelled Order","Refund Processing","The customer called to inquire about a delayed refund for a cancelled iPhone 15 Pro Max order, stating they have been waiting for over a month. The agent attempted to escalate the issue to the finance team during the call, but no resolution was provided, and the customer expressed extreme frustration and threatened legal action.",Angry,No
695766,Inquiry,Cashback,"Missing Cashback Details","Missing Cashback","The customer called to inquire about an 800 rands cashback they expected but had not received for a recent phone purchase. The agent explained that the cashback is only applicable for orders over 5,000 rands, while the customer's order was for a lower amount and already included a 500 rands discount. The customer accepted the explanation and the call concluded.",Frustrated,Yes
695767,Complaint,Order,"Unexpected Cancellation",Cancellation,"The customer called to complain about an iPhone 14 Pro Max order that was unexpectedly cancelled after several days of no tracking movement. The agent explained the cancellation was due to stock unavailability and offered a refund to the customer's Revibe wallet with an additional 100 AED as compensation, which the customer accepted. The agent promised to follow up once the financial team processes the refund.",Frustrated,No
695769,Inquiry,Order,"Delivery Date Discrepancy","Status Inquiry","The customer called to inquire about a discrepancy in the delivery date for an order they placed, noting different dates in the initial estimate and a recent email. They also asked if direct collection was possible. The agent requested the order number to investigate, and the call ended before a resolution was provided.",Inquisitive,No
695771,Inquiry,"Reseller Program","Reseller Program Details","Product Research","The customer, a reseller, called to inquire about Revibe's product catalog, delivery times, and the condition of refurbished gadgets for resale. The agent provided detailed information on product conditions and delivery, and guided the customer to a 'become a seller' form on the website for better deals, which the customer agreed to complete.",Inquisitive,Yes
695774,Inquiry,"Gift Card","Gift Card Not Applying","Promotions & Vouchers","The customer called to inquire why a 200 AED gift card was not applying to her new purchase of an iPhone 12 Mini priced at 600 AED. The agent investigated and informed the customer that there is an unstated minimum purchase requirement of 1000 AED to use the gift card. The customer expressed strong disappointment, and the issue was not resolved to her satisfaction.",Frustrated,No
695777,"Payment Issue",Payment,"Declined Debit Card","Payment Failures","The customer called because their debit card payment for an iPhone 15 Pro purchase was being declined. The agent confirmed that Revibe accepts debit cards and suggested the customer check with their bank's security division for the issue, as there were no problems from Revibe's end. The customer decided to contact their bank.",Inquisitive,No
695781,"Track Order",Order,"Missing Documents","Shipping Provider Issue","The customer called because their phone order's tracking status with Aramex showed ""documents missing,"" causing the shipment to be suspended. The agent confirmed the issue and provided the customer with the necessary invoice via email, instructing them to forward it to Aramex to resolve the delivery hold.",Neutral,Yes
